Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Soybean, average, animal feed, at farm gate",0.00379,kg CO2 eq,41,9,40,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00351,kg CO2 eq,42,10,41,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.0028,kg CO2 eq,43,11,42,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00216,kg CO2 eq,44,12,43,raw materials/ingredients,Brazil,clear-cutting
"Soybean grain, tillage, Centerwest",0.00071,kg CO2 eq,45,11,42,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00054,kg CO2 eq,46,12,45,raw materials/ingredients,Brazil,clear-cutting
"Silage maize, conventional, national average, animal feed, at farm gate, product",0.00284,kg CO2 eq,47,6,37,raw materials/ingredients,France,Silage maize
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.0021,kg CO2 eq,48,6,37,raw materials/ingredients,France,Grazed grass
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.0009,kg CO2 eq,49,6,37,raw materials/ingredients,France,Soft wheat grain
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.00051,kg CO2 eq,50,6,37,raw materials/ingredients,France,Grass silage
"heat production, light fuel oil, at boiler 100kW condensing, non-modulating",0.00043,kg CO2 eq,51,6,37,raw materials/ingredients,Switzerland,heat production
"Cow milk, conventional, highland milk system, grass fed, at farm gate",0.04151,kg CO2 eq,52,5,4,raw materials/ingredients,France,Cow milk
"Grass silage, horizontal silo, permanent meadow, without clover, Auvergne, at fa",0.00303,kg CO2 eq,53,6,52,raw materials/ingredients,France,Grass silage
"Harvesting silage grass, with hay chopper and blower/hr",0.00049,kg CO2 eq,54,7,53,raw materials/ingredients,France,Harvesting silage grass
"Diesel combustion, in tractor/kg",0.00039,kg CO2 eq,55,8,54,raw materials/ingredients,France,Diesel combustion
"Grazed grass, permanent meadow, without clover, Auvergne, on field",0.00146,kg CO2 eq,56,6,52,raw materials/ingredients,France,Grazed grass
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.00116,kg CO2 eq,57,6,52,raw materials/ingredients,France,Soft wheat grain
"Baled hay, permanent meadow, without clover, Auvergne, at farm",0.00113,kg CO2 eq,58,6,52,raw materials/ingredients,France,Baled hay
"Rapeseed oil, crude, conventional, animal feed, at plant",0.00062,kg CO2 eq,59,6,52,raw materials/ingredients,France,Rapeseed oil
"Rapeseed grain, conventional, dried, stored and transported, processing",0.00056,kg CO2 eq,60,7,59,raw materials/ingredients,France,Rapeseed grain
"Rapeseed, conventional, 9% moisture, national average, animal feed, at farm gate",0.00055,kg CO2 eq,61,8,60,raw materials/ingredients,France,Rapeseed
"heat production, light fuel oil, at boiler 100kW condensing, non-modulating",0.00042,kg CO2 eq,62,6,52,raw materials/ingredients,Switzerland,heat production
"Cow milk, conventional, lowland milk system, silage maize 5 to 10%, at farm gate",0.01503,kg CO2 eq,63,5,4,raw materials/ingredients,France,Cow milk
"Soybean meal BR, crushing in Brazil, animal feed, at french port, average",0.00118,kg CO2 eq,64,6,63,raw materials/ingredients,France,Soybean meal BR
"Soybean meal, crushing in Brazil, animal feed, at mill, average",0.0011,kg CO2 eq,65,7,64,raw materials/ingredients,Brazil,Soybean meal
"Soybean oil and meal, Brazil, common process meal and oil, average",0.00104,kg CO2 eq,66,8,65,raw materials/ingredients,Brazil,Soybean oil and meal
"Soybean, average, animal feed, at farm gate",0.00092,kg CO2 eq,67,9,66,raw materials/ingredients,Brazil,Soybean
"Soybean, Center west average, animal feed, at farm gate",0.00085,kg CO2 eq,68,10,67,raw materials/ingredients,Brazil,Soybean
"Soybean grain, no tillage, Centerwest",0.00068,kg CO2 eq,69,11,68,raw materials/ingredients,Brazil,Soybean grain
"clear-cutting, primary forest to arable land BR_modified",0.00053,kg CO2 eq,70,12,69,raw materials/ingredients,Brazil,clear-cutting
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.00115,kg CO2 eq,71,6,63,raw materials/ingredients,France,Grazed grass
"Baled hay, permanent meadow, with clover, Northwestern region, at farm",0.00051,kg CO2 eq,72,6,63,raw materials/ingredients,France,Baled hay
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.0004,kg CO2 eq,73,6,63,raw materials/ingredients,France,Grass silage
"Cow milk, organic, lowland milk system, silage maize 5 to 10%, at farm gate",0.01476,kg CO2 eq,74,5,4,raw materials/ingredients,France,Cow milk
"Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region | Grass silage, horizontal silo, temporary meadow, with clover, Northwestern region, at farm",0.00076,kg CO2 eq,75,6,74,raw materials/ingredients,France,Grass silage
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.00071,kg CO2 eq,76,6,74,raw materials/ingredients,France,Grazed grass
"Bovine feed,Melo, at farm gate/kg",0.00038,kg CO2 eq,77,6,74,raw materials/ingredients,France,Bovine feed
"heat production, heavy fuel oil, at industrial furnace 1MW",0.0038,kg CO2 eq,78,4,3,raw materials/ingredients,Switzerland,heat production
"heat production, natural gas, at industrial furnace low-NOx >100kW",0.00292,kg CO2 eq,79,4,3,raw materials/ingredients,Europe without Switzerland,heat production
"transport, freight, lorry with refrigeration machine, 7.5-16 ton, EUR",0.00273,kg CO2 eq,80,4,3,raw materials/ingredients,Global,transport
"nitric acid, without water, in 50% solution state",0.00137,kg CO2 eq,81,4,3,raw materials/ingredients,Global,nitric acid
"electricity, medium voltage",0.00098,kg CO2 eq,82,4,3,raw materials/ingredients,France,electricity
"sodium hydroxide, without water, in 50% solution state",0.00092,kg CO2 eq,83,4,3,raw materials/ingredients,Global,sodium hydroxide
"transport, freight, lorry 16-32 metric ton, EURO6",0.00141,kg CO2 eq,84,3,2,raw materials/ingredients,Europe,transport
"Cooking, industrial, 1kg of cooked product (AGB 3.0)/",0.03872,kg CO2 eq,85,1,0,raw materials/ingredients,France,Cooking
"Boiling, industrial, 1kg of boiled product, for cooking",0.01809,kg CO2 eq,86,2,85,raw materials/ingredients,France,Boiling
"Gas boiling, industrial, 1kg of boiled product, for boiling",0.01702,kg CO2 eq,87,3,86,raw materials/ingredients,France,Gas boiling
"heat production, natural gas, MODIFIED <100kW",0.01686,kg CO2 eq,88,4,87,raw materials/ingredients,Europe without Switzerland,heat production
"natural gas, low pressure",0.00379,kg CO2 eq,89,5,88,raw materials/ingredients,Rest-of-World,natural gas
"Electric boiling, industrial, 1kg of boiled product, for boiling",0.00107,kg CO2 eq,90,3,86,raw materials/ingredients,France,Electric boiling
"electricity, medium voltage",0.00097,kg CO2 eq,91,4,90,raw materials/ingredients,France,electricity
"Deep-frying, industrial, 1kg of deep-fried product, for cooking",0.01299,kg CO2 eq,92,2,85,raw materials/ingredients,France,Deep-frying
"rape oil, crude",0.00895,kg CO2 eq,93,3,92,raw materials/ingredients,Switzerland,rape oil
"electricity, medium voltage",0.00356,kg CO2 eq,94,3,92,raw materials/ingredients,France,electricity
"treatment of used vegetable cooking oil, purification",0.00048,kg CO2 eq,95,3,92,raw materials/ingredients,France,treatment of used vegetable cooking oil
"Oven baking, industrial, 1kg of oven-baked product, for cooking",0.00764,kg CO2 eq,96,2,85,raw materials/ingredients,France,Oven baking
"electricity, medium voltage",0.00764,kg CO2 eq,97,3,96,raw materials/ingredients,France,electricity
"Tomato, for processing, peeled, at plant",0.03502,kg CO2 eq,98,1,0,raw materials/ingredients,France,Tomato
"Processed tomatoes, consumption mix",0.03468,kg CO2 eq,99,2,98,raw materials/ingredients,France,Processed tomatoes
"Tomato, conventional, soil based, non-heated greenhouse, at greenhouse",0.02544,kg CO2 eq,100,3,99,raw materials/ingredients,France,Tomato
"Tomato, seedling (phase), conventional, soil based prod., national average, at p",0.01185,kg CO2 eq,101,4,100,raw materials/ingredients,France,Tomato
"natural gas, burned in furnace >100kW of greenhouse/MJ",0.01088,kg CO2 eq,102,5,101,raw materials/ingredients,Europe,natural gas
"natural gas, high pressure",0.00176,kg CO2 eq,103,6,102,raw materials/ingredients,France,natural gas
Plastic tunnel/m2,0.00352,kg CO2 eq,104,4,100,raw materials/ingredients,France,Plastic tunnel/m2
"steel production, low-alloyed, hot rolled",0.00123,kg CO2 eq,105,5,104,raw materials/ingredients,Europe,steel production
ethylene vinyl acetate copolymer production,0.0009,kg CO2 eq,106,5,104,raw materials/ingredients,Europe,ethylene vinyl acetate copolymer production
"Greenhouse, plastic walls and roof, plastic tubes/m2",0.00287,kg CO2 eq,107,4,100,raw materials/ingredients,France,Greenhouse
"steel production, low-alloyed, hot rolled",0.00065,kg CO2 eq,108,5,107,raw materials/ingredients,Europe,steel production
"Average mineral fertilizer, as N, at regional storehouse/kg",0.00059,kg CO2 eq,109,4,100,raw materials/ingredients,France,Average mineral fertilizer
"Average mineral fertilizer, as K2O, at regional storehouse/kg",0.00051,kg CO2 eq,110,4,100,raw materials/ingredients,France,Average mineral fertilizer
"Potassium chloride, as K2O, at plant (WFLDB 3.5)",0.00041,kg CO2 eq,111,5,110,raw materials/ingredients,Europe,Potassium chloride
"Potassium chloride (60% K2O), at plant (WFLDB 3.5)",0.00041,kg CO2 eq,112,6,111,raw materials/ingredients,Europe,Potassium chloride (60% K2O)
"Average compost, from green waste, biowaste, sludge, manure, slurry",0.00043,kg CO2 eq,113,4,100,raw materials/ingredients,-,Average compost
"polypropylene production, granulate",0.00042,kg CO2 eq,114,4,100,raw materials/ingredients,Europe,polypropylene production
"transport, freight, lorry 16-32 metric ton, EURO6",0.00701,kg CO2 eq,115,3,99,raw materials/ingredients,Europe,transport
"transport, freight, sea, transoceanic ship",0.00142,kg CO2 eq,116,3,99,raw materials/ingredients,Global,transport
"transport, freight train",0.0008,kg CO2 eq,117,3,99,raw materials/ingredients,Europe,transport
"Wheat flour, at industrial mill",0.02245,kg CO2 eq,118,1,0,raw materials/ingredients,France,Wheat flour
"Global milling process; soft wheat, steel-roller-milled, industrial production; French production mix, at plant; 1 kg bulk flour at the exit gate  (PDi)",0.02245,kg CO2 eq,119,2,118,raw materials/ingredients,France,Global milling process; soft wheat
