Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Raw milk, medium scale production, grazing, mechanized, at farm | Raw milk archetype, medium scale production, grazing, mechanized, at farm (WFLDB 3.1)",0.0187047821,kg CO2 eq,133,5,132,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0083078407,kg CO2 eq,134,6,133,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0052811259,kg CO2 eq,135,6,133,-,Global,Concentrate feed
"Soybean, at farm",0.0038654391,kg CO2 eq,136,7,135,-,Global,Soybean
"Raw milk, at farm (Q 1.0) | Enteric emissions, dry cows and heifers, 1 kg methane (WFLDB 3.1)",0.0029964235,kg CO2 eq,137,6,133,-,Global,Raw milk
"Raw milk, medium scale production, non-grazing, mechanized, at farm",0.0163947096,kg CO2 eq,138,5,132,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0070862137,kg CO2 eq,139,6,138,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0049319737,kg CO2 eq,140,6,138,-,Global,Concentrate feed
"Soybean, at farm",0.0036098825,kg CO2 eq,141,7,140,-,Global,Soybean
"Raw milk, at farm (Q 1.0) | Enteric emissions, dry cows and heifers, 1 kg methane (WFLDB 3.1)",0.0027777958,kg CO2 eq,142,6,138,-,Global,Raw milk
"Manure management at farm, liquid-slurry, temperate, per kg VS (WFLDB 3.1)",0.0065625534,kg CO2 eq,143,5,132,-,Global,Manure management at farm
"Raw milk, at farm/RER (Q 1.0)",0.0022725059,kg CO2 eq,144,5,132,-,France,Raw milk
"raw milk, production mix, at farm/kg/U",0.0264857141,kg CO2 eq,145,4,3,-,United Kingdom,raw milk
"Raw milk, medium scale production, non-grazing, mechanized, at farm",0.0113900088,kg CO2 eq,146,5,145,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0049230538,kg CO2 eq,147,6,146,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0034264238,kg CO2 eq,148,6,146,-,Global,Concentrate feed
"Soybean, at farm",0.0025079183,kg CO2 eq,149,7,148,-,Global,Soybean
"Raw milk, medium scale production, grazing, mechanized, at farm | Raw milk archetype, medium scale production, grazing, mechanized, at farm (WFLDB 3.1)",0.0086632675,kg CO2 eq,150,5,145,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.003847842,kg CO2 eq,151,6,150,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0024459952,kg CO2 eq,152,6,150,-,Global,Concentrate feed
