Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Cow milk, conventional, lowland milk system, silage maize 10 to 30%, at farm gat",0.019996413969999998,kg CO2 eq,274,6,171,raw materials/ingredients,France,Cow milk
"clear-cutting, primary forest to arable land BR_modified",0.00138214694,kg CO2 eq,275,13,178,raw materials/ingredients,Brazil,clear-cutting
"Silage maize, conventional, national average, animal feed, at farm gate, product",0.0011070724834399998,kg CO2 eq,276,7,179,raw materials/ingredients,France,Silage maize
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.0012058515596,kg CO2 eq,277,7,180,raw materials/ingredients,France,Grazed grass
"Cow milk, conventional, highland milk system, grass fed, at farm gate",0.021208392229999998,kg CO2 eq,278,6,182,raw materials/ingredients,France,Cow milk
"Grass silage, horizontal silo, permanent meadow, without clover, Auvergne, at fa",0.0011538087400000002,kg CO2 eq,279,7,183,raw materials/ingredients,France,Grass silage
"Grazed grass, permanent meadow, without clover, Auvergne, on field",0.0009226588,kg CO2 eq,280,7,184,raw materials/ingredients,France,Grazed grass
"Cow milk, conventional, lowland milk system, silage maize 5 to 10%, at farm gate",0.007095016839999999,kg CO2 eq,281,6,187,raw materials/ingredients,France,Cow milk
"Grazed grass, temporary meadow, with clover, Northwestern region, on field",0.0006607549335,kg CO2 eq,282,7,193,raw materials/ingredients,France,Grazed grass
"Cow milk, organic, lowland milk system, silage maize 5 to 10%, at farm gate",0.00722070519,kg CO2 eq,283,6,194,raw materials/ingredients,France,Cow milk
"heat production, natural gas, MODIFIED <100kW",0.0126970665,kg CO2 eq,284,5,204,raw materials/ingredients,Europe without Switzerland,heat production
"Tomato, conventional, soil based, non-heated greenhouse, at greenhouse",0.0018878637819999926,kg CO2 eq,285,4,215,raw materials/ingredients,France,Tomato
"natural gas, burned in furnace >100kW of greenhouse/MJ",0.0071200000000000005,kg CO2 eq,286,6,217,raw materials/ingredients,Europe,natural gas
"Soft wheat grain, conventional, breadmaking quality, 15% moisture, at farm gate|",0.015021682541,kg CO2 eq,287,4,228,raw materials/ingredients,France,Soft wheat grain
"Ammonia, steam reforming, at plant (WFLDB 3.5)",0.0007580727997000001,kg CO2 eq,288,8,232,raw materials/ingredients,Europe,Ammonia
