Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Land use change, annual crop (WFLDB 3.1)",0.0074012607,kg CO2 eq,88,9,87,-,Argentina,Land use change
"clear-cutting, secondary forest to arable land",0.0067906955,kg CO2 eq,89,10,88,-,Argentina,clear-cutting
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0225699501,kg CO2 eq,90,6,80,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, dry cows and heifers, 1 kg methane (WFLDB 3.1)",0.0082282574,kg CO2 eq,91,6,80,-,Global,Raw milk
"Raw milk, medium scale production, non-grazing, mechanized, at farm",0.018983348,kg CO2 eq,92,5,79,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0082050896,kg CO2 eq,93,6,92,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0057107063,kg CO2 eq,94,6,92,-,Global,Concentrate feed
"Raw milk, small scale production, grazing, non-mechanized, at farm",0.0119499569,kg CO2 eq,95,5,79,-,Global,Raw milk
"Raw milk, medium scale production, grazing, mechanized, at farm | Raw milk archetype, medium scale production, grazing, mechanized, at farm (WFLDB 3.1)",0.0108290844,kg CO2 eq,96,5,79,-,Global,Raw milk
"Raw milk, at farm/RER (Q 1.0) | Dairy farm exploitation, mechanized, allocated to 1 kg milk (WFLDB 3.1)",0.0080293775,kg CO2 eq,97,5,79,-,Russia,Raw milk
"raw milk, production mix, at farm/kg/U",0.0591311808,kg CO2 eq,98,4,27,-,Germany,raw milk
"Raw milk, medium scale production, non-grazing, mechanized, at farm",0.0253686559,kg CO2 eq,99,5,98,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0109649834,kg CO2 eq,100,6,99,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0076315803,kg CO2 eq,101,6,99,-,Global,Concentrate feed
"Soybean, at farm",0.0055858181,kg CO2 eq,102,7,101,-,Global,Soybean
"Raw milk, medium scale production, grazing, mechanized, at farm | Raw milk archetype, medium scale production, grazing, mechanized, at farm (WFLDB 3.1)",0.0192954595,kg CO2 eq,103,5,98,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0085701936,kg CO2 eq,104,6,103,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0054478983,kg CO2 eq,105,6,103,-,Global,Concentrate feed
"Manure management at farm, liquid-slurry, temperate, per kg VS (WFLDB 3.1)",0.0085447984,kg CO2 eq,106,5,98,-,Global,Manure management at farm
"raw milk, production mix, at farm/kg/U",0.045092853,kg CO2 eq,107,4,27,-,France,raw milk
"Raw milk, medium scale production, grazing, mechanized, at farm | Raw milk archetype, medium scale production, grazing, mechanized, at farm (WFLDB 3.1)",0.0187047821,kg CO2 eq,108,5,107,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0083078407,kg CO2 eq,109,6,108,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0052811259,kg CO2 eq,110,6,108,-,Global,Concentrate feed
"Raw milk, medium scale production, non-grazing, mechanized, at farm",0.0163947096,kg CO2 eq,111,5,107,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0070862137,kg CO2 eq,112,6,111,-,Global,Raw milk
"Concentrate feed, protein concentrate, for dairy cows, at farm (WFLDB 3.1)",0.0049319737,kg CO2 eq,113,6,111,-,Global,Concentrate feed
"Manure management at farm, liquid-slurry, temperate, per kg VS (WFLDB 3.1)",0.0065625534,kg CO2 eq,114,5,107,-,Global,Manure management at farm
"raw milk, production mix, at farm/kg/U",0.0264857141,kg CO2 eq,115,4,27,-,United Kingdom,raw milk
"Raw milk, medium scale production, non-grazing, mechanized, at farm",0.0113900088,kg CO2 eq,116,5,115,-,Global,Raw milk
"Raw milk, at farm (Q 1.0) | Enteric emissions, lactating cows, 1 kg methane (WFLDB 3.1)",0.0049230538,kg CO2 eq,117,6,116,-,Global,Raw milk
"Raw milk, medium scale production, grazing, mechanized, at farm | Raw milk archetype, medium scale production, grazing, mechanized, at farm (WFLDB 3.1)",0.0086632675,kg CO2 eq,118,5,115,-,Global,Raw milk
"heat production, heavy fuel oil, at industrial furnace 1MW",0.0191296886,kg CO2 eq,119,3,26,-,Europe without Switzerland,heat production
"electricity, medium voltage",0.0151711454,kg CO2 eq,120,3,26,-,Europe,electricity
"transport, lorry 16-32t, EURO5/tkm",0.00677096,kg CO2 eq,121,3,26,-,Europe,transport
"operation, lorry 16-32t, EURO5 | Operation, chilled, lorry 16-32t, EURO5 (WFLDB 3.1)",0.0060767342,kg CO2 eq,122,4,121,-,Europe,operation
"Spray drying, dairy products, at dairy (WFLDB 3.1)",0.0150290695,kg CO2 eq,123,2,25,-,Global,Spray drying
"heat production, natural gas, at industrial furnace >100kW",0.0136306509,kg CO2 eq,124,3,123,-,Europe without Switzerland,heat production
"Evaporation, dairy products, at dairy (WFLDB 3.1)",0.0099712302,kg CO2 eq,125,2,25,-,Global,Evaporation
"heat production, natural gas, at industrial furnace >100kW",0.0090516027,kg CO2 eq,126,3,125,-,Europe without Switzerland,heat production
"electricity, low voltage",0.1239541309,kg CO2 eq,127,1,0,-,Europe,electricity
"Sugar, from sugar beet, at sugar refinery (WFLDB 3.1)",0.0657229719,kg CO2 eq,128,1,0,-,Global,Sugar
"Sugar beet, at farm (WFLDB 3.1)",0.040173121,kg CO2 eq,129,2,128,-,Global,Sugar beet
"Sugar beet, at farm (WFLDB 3.1)/kg",0.0139494526,kg CO2 eq,130,3,129,-,United States,Sugar beet
"Sugar beet, at farm (WFLDB 3.1)/kg",0.0124469591,kg CO2 eq,131,3,129,-,Russia,Sugar beet
"Sugar beet, at farm (WFLDB 3.1)/kg",0.0074058756,kg CO2 eq,132,3,129,-,France,Sugar beet
"Sugar beet, at farm (WFLDB 3.1)/kg",0.0063708336,kg CO2 eq,133,3,129,-,Germany,Sugar beet
"heat production, natural gas, at industrial furnace >100kW",0.012010114,kg CO2 eq,134,2,128,-,Europe without Switzerland,heat production
"electricity, medium voltage",0.008005212,kg CO2 eq,135,2,128,-,Europe,electricity
