Process,Amount,Unit,id,hierarchy_level,parent_id,Phase,Location,Process_shorthand
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.0046948207299999985,kg CO2 eq,260,11,119,raw materials/ingredients,France,Soft wheat grain
"clear-cutting, primary forest to arable land BR_modified",0.00173016815,kg CO2 eq,261,16,127,raw materials/ingredients,Brazil,clear-cutting
"Maize grain, conventional, 28% moisture, national average, animal feed, at farm | Maize grain, conventional, 28% moisture, national average, animal feed, at farm gate",0.001118939288508,kg CO2 eq,262,10,128,raw materials/ingredients,France,Maize grain
"Rapeseed, conventional, 9% moisture, national average, animal feed, at farm gate",0.0008820419570999997,kg CO2 eq,263,12,131,raw materials/ingredients,France,Rapeseed
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.0020107072818000005,kg CO2 eq,264,10,133,raw materials/ingredients,France,Soft wheat grain
"clear-cutting, primary forest to arable land BR_modified",0.00073578636,kg CO2 eq,265,16,140,raw materials/ingredients,Brazil,clear-cutting
"clear-cutting, primary forest to arable land BR_modified",0.00297307282,kg CO2 eq,266,15,150,raw materials/ingredients,Brazil,clear-cutting
"clear-cutting, primary forest to arable land BR_modified",0.00074576821,kg CO2 eq,267,15,152,raw materials/ingredients,Brazil,clear-cutting
"Soft wheat grain, conventional, national average, animal feed, at farm gate, pro",0.0034035314861,kg CO2 eq,268,10,154,raw materials/ingredients,France,Soft wheat grain
"disposal, polyethylene, 0.4% water, to municipal incineration/kg",0.001552880453359,kg CO2 eq,269,5,181,raw materials/ingredients,Switzerland,disposal
"heat production, natural gas, MODIFIED <100kW",0.0126970665,kg CO2 eq,270,5,190,raw materials/ingredients,Europe without Switzerland,heat production
"Soft wheat grain, conventional, breadmaking quality, 15% moisture, at farm gate|",0.015305531357,kg CO2 eq,271,4,201,raw materials/ingredients,France,Soft wheat grain
"Ammonia, steam reforming, at plant (WFLDB 3.5)",0.0007664014426999999,kg CO2 eq,272,8,205,raw materials/ingredients,Europe,Ammonia
"Tomato, conventional, soil based, non-heated greenhouse, at greenhouse",0.001058018089000001,kg CO2 eq,273,4,213,raw materials/ingredients,France,Tomato
"natural gas, burned in furnace >100kW of greenhouse/MJ",0.004019999999999999,kg CO2 eq,274,6,215,raw materials/ingredients,Europe,natural gas
